,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Counrty,Date
0,Freeport,40.6576,-73.5832,36.0,55,90,10.36,US,1611794383
1,Jamestown,42.097,-79.2353,21.99,93,90,4.32,US,1611794580
2,Qaanaaq,77.484,-69.3632,-14.75,65,0,9.57,GL,1611794580
3,Albany,42.6001,-73.9662,28.99,59,99,3.0,US,1611794348
4,Safi,32.2994,-9.2372,62.69,85,0,12.55,MA,1611794581
5,Kahului,20.8947,-156.47,78.8,57,40,19.57,US,1611794292
6,Guerrero Negro,27.9769,-114.0611,59.79,54,100,12.73,MX,1611794420
7,Agnibilékrou,7.1344,-3.2047,71.58,89,0,2.26,CI,1611794581
8,Kavaratti,10.5669,72.642,80.47,68,85,12.15,IN,1611794582
9,Haridwar,29.9667,78.1667,44.78,54,0,2.37,IN,1611794421
10,Narsaq,60.9167,-46.05,37.4,35,75,31.07,GL,1611794582
11,Dunedin,-45.8742,170.5036,55.0,65,68,37.0,NZ,1611794582
12,Ushuaia,-54.8,-68.3,41.0,87,75,18.41,AR,1611794311
13,Byron Bay,-28.65,153.6167,80.6,65,40,12.66,AU,1611794583
14,Rikitea,-23.1203,-134.9692,79.72,74,100,10.98,PF,1611794583
15,Kavieng,-2.5744,150.7967,85.14,71,100,10.36,PG,1611794536
16,Cherskiy,68.75,161.3,-23.26,85,100,4.94,RU,1611794583
17,Mataura,-46.1927,168.8643,52.0,76,100,18.01,NZ,1611794583
18,Punta Arenas,-53.15,-70.9167,44.6,81,90,13.8,CL,1611794584
19,Busselton,-33.65,115.3333,70.0,67,53,1.01,AU,1611794523
20,Pevek,69.7008,170.3133,-21.57,88,100,4.56,RU,1611794584
21,New Norfolk,-42.7826,147.0587,64.99,46,0,1.99,AU,1611794584
22,Karratha,-20.7377,116.8463,99.25,14,0,16.11,AU,1611794584
23,Acarí,-15.4311,-74.6158,72.9,67,7,3.27,PE,1611794585
24,Avarua,-21.2078,-159.775,86.0,66,47,14.97,CK,1611794585
25,Cape Town,-33.9258,18.4232,64.99,68,0,16.11,ZA,1611794585
26,Korla,41.7597,86.1469,18.57,84,0,2.01,CN,1611794352
27,Barra de Tecoanapa,16.5167,-98.75,77.61,69,1,2.64,MX,1611794585
28,Ulladulla,-35.35,150.4667,68.0,77,90,10.36,AU,1611794425
29,São Filipe,14.8961,-24.4956,73.96,68,0,5.32,CV,1611794425
30,Lata,40.1629,-8.3327,57.0,94,99,1.3,PT,1611794577
31,Cabedelo,-6.9811,-34.8339,78.8,89,75,8.05,BR,1611794586
32,Pundaguitan,6.3711,126.1689,79.9,75,100,9.1,PH,1611794586
33,Esperance,-33.8667,121.9,66.2,77,75,11.5,AU,1611794426
34,Arraial do Cabo,-22.9661,-42.0278,77.34,80,100,28.48,BR,1611794587
35,Klaksvík,62.2266,-6.589,32.0,69,90,6.91,FO,1611794427
36,Cidreira,-30.1811,-50.2056,73.96,91,87,7.85,BR,1611794587
37,Tautira,-17.7333,-149.15,87.8,58,40,11.5,PF,1611794587
38,Changping,40.2186,116.2197,21.2,18,0,22.37,CN,1611794536
39,Airai,-8.9266,125.4092,64.42,100,100,4.38,TL,1611794427
40,Lebu,-37.6167,-73.65,56.89,85,97,6.91,CL,1611794527
41,Clyde River,70.4692,-68.5914,-14.8,76,1,1.39,CA,1611794353
42,Geraldton,-28.7667,114.6,77.0,36,0,10.36,AU,1611794588
43,Kapaa,22.0752,-159.319,75.99,83,75,18.41,US,1611794428
44,Mata de São João,-12.5303,-38.2992,82.4,69,75,10.36,BR,1611794589
45,Bethel,41.3712,-73.414,30.2,69,90,8.05,US,1611794589
46,Makat,47.6469,53.3463,22.15,97,96,20.71,KZ,1611794559
47,Belfast,54.5833,-5.9333,43.0,100,90,13.8,GB,1611794426
48,Shingū,33.7333,135.9833,46.4,71,75,4.61,JP,1611794590
49,Bluff,-46.6,168.3333,52.0,76,100,18.01,NZ,1611794590
50,Vaini,-21.2,-175.2,73.4,100,90,8.05,TO,1611794590
51,Coyhaique,-45.5752,-72.0662,53.6,66,75,3.44,CL,1611794590
52,Lagoa,39.05,-27.9833,60.24,82,0,25.41,PT,1611794430
53,Ancud,-41.8697,-73.8203,59.0,72,75,8.05,CL,1611794430
54,Talcahuano,-36.7167,-73.1167,60.8,77,0,16.11,CL,1611794430
55,Port Hawkesbury,45.6169,-61.3485,28.99,86,90,3.44,CA,1611794591
56,Kieta,-6.2167,155.6333,86.99,67,99,11.43,PG,1611794591
57,Butaritari,3.0707,172.7902,80.38,81,100,16.84,KI,1611794534
58,Pedernales,18.0384,-71.744,76.42,63,0,4.34,DO,1611794592
59,Laibin,23.7,109.2667,53.65,57,97,15.77,CN,1611794352
60,Los Llanos de Aridane,28.6585,-17.9182,64.0,88,0,8.05,ES,1611794592
61,Port Alfred,-33.5906,26.891,61.0,91,16,1.99,ZA,1611794431
62,Mahon,39.8885,4.2658,51.8,100,0,5.75,ES,1611794431
63,Sitka,57.0531,-135.33,30.2,37,1,4.61,US,1611794592
64,Hobart,-42.8794,147.3294,64.99,47,75,9.22,AU,1611794315
65,Darhan,49.4867,105.9228,-12.08,82,100,8.37,MN,1611794593
66,Llangefni,53.2556,-4.3106,50.0,100,75,6.91,GB,1611794432
67,Hilo,19.7297,-155.09,75.2,73,90,6.91,US,1611794593
68,Minot,48.2325,-101.2963,5.0,71,1,9.22,US,1611794509
69,Longyearbyen,78.2186,15.6401,5.0,66,20,16.11,SJ,1611794593
70,Vardø,70.3705,31.1107,24.91,93,100,22.62,NO,1611794433
71,Atuona,-9.8,-139.0333,78.71,78,3,15.61,PF,1611794525
72,Wanning,18.8003,110.3967,69.26,81,7,11.07,CN,1611794594
73,Teya,60.3778,92.6267,-29.49,81,100,2.33,RU,1611794594
74,Port Hedland,-20.3167,118.5667,87.8,70,0,10.36,AU,1611794594
75,Saint-Philippe,-21.3585,55.7679,77.0,65,0,3.44,RE,1611794434
76,Springdale,36.1867,-94.1288,28.99,93,90,11.5,US,1611794595
77,Provideniya,64.3833,-173.3,10.4,85,90,31.32,RU,1611794595
78,Bariloche,-41.1456,-71.3082,53.6,58,40,20.71,AR,1611794428
79,Yellowknife,62.456,-114.3525,-9.99,77,90,3.44,CA,1611794434
80,Gilbués,-9.8317,-45.3439,78.85,52,97,3.04,BR,1611794434
81,Camargo,27.6667,-105.1667,56.28,33,100,6.78,MX,1611794595
82,Luganville,-15.5333,167.1667,78.49,83,100,3.74,VU,1611794596
83,Hāflong,25.1833,93.0333,53.92,78,0,1.77,IN,1611794596
84,Bria,6.5423,21.9863,74.1,32,94,0.36,CF,1611794435
85,Iqaluit,63.7506,-68.5145,1.4,60,1,25.32,CA,1611794596
